jurisdiccion,edad_grupo,sexo,nacimientos
CABA,25 a 29,masculino,3
CABA,25 a 29,masculino,4
CABA,25 a 29,masculino,4
CABA,25 a 29,masculino,1
CABA,25 a 29,masculino,2
CABA,25 a 29,masculino,4
CABA,25 a 29,masculino,26
CABA,25 a 29,masculino,88
CABA,25 a 29,masculino,101
CABA,25 a 29,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,18
CABA,30 a 34,masculino,198
CABA,30 a 34,masculino,688
CABA,30 a 34,masculino,791
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,7
CABA,30 a 34,masculino,34
CABA,30 a 34,masculino,56
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,14
CABA,35 a 39,masculino,15
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,3
CABA,35 a 39,masculino,10
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,18
CABA,35 a 39,masculino,43
CABA,35 a 39,masculino,95
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,6
CABA,35 a 39,masculino,8
CABA,35 a 39,masculino,3
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,22
CABA,35 a 39,masculino,57
CABA,35 a 39,masculino,86
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,9
CABA,35 a 39,masculino,8
CABA,35 a 39,masculino,16
CABA,35 a 39,masculino,6
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,8
CABA,25 a 29,masculino,10
CABA,25 a 29,masculino,40
CABA,25 a 29,masculino,60
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,4
CABA,30 a 34,masculino,15
CABA,30 a 34,masculino,27
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,4
CABA,30 a 34,masculino,7
CABA,30 a 34,masculino,4
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,28
CABA,30 a 34,masculino,79
CABA,30 a 34,masculino,149
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,5
CABA,30 a 34,masculino,4
CABA,30 a 34,masculino,3
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,29
CABA,30 a 34,masculino,87
CABA,30 a 34,masculino,127
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,5
CABA,30 a 34,masculino,7
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,11
CABA,30 a 34,masculino,16
CABA,30 a 34,masculino,6
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,5
CABA,30 a 34,masculino,85
CABA,30 a 34,masculino,236
CABA,30 a 34,masculino,299
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,3
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,4
CABA,30 a 34,masculino,21
CABA,30 a 34,masculino,67
CABA,30 a 34,masculino,85
CABA,30 a 34,masculino,1
CABA,30 a 34,masculino,4
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,5
CABA,30 a 34,masculino,2
CABA,30 a 34,masculino,10
CABA,30 a 34,masculino,30
CABA,30 a 34,masculino,34
CABA,30 a 34,masculino,15
CABA,30 a 34,masculino,1
CABA,40 a 44,masculino,3
CABA,40 a 44,masculino,10
CABA,40 a 44,masculino,22
CABA,40 a 44,masculino,25
CABA,40 a 44,masculino,2
CABA,40 a 44,masculino,3
CABA,40 a 44,masculino,2
CABA,40 a 44,masculino,5
CABA,40 a 44,masculino,15
CABA,40 a 44,masculino,21
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,8
CABA,40 a 44,masculino,84
CABA,40 a 44,masculino,266
CABA,40 a 44,masculino,244
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,7
CABA,40 a 44,masculino,16
CABA,40 a 44,masculino,11
CABA,40 a 44,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,3
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,3
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,2
CABA,De 45 y más,masculino,9
CABA,De 45 y más,masculino,6
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,7
CABA,De 45 y más,masculino,4
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,4
CABA,De 45 y más,masculino,3
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,6
CABA,De 45 y más,masculino,16
CABA,De 45 y más,masculino,46
CABA,De 45 y más,masculino,36
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,1
CABA,De 45 y más,masculino,3
CABA,De 45 y más,masculino,2
CABA,Sin especificar,masculino,1
CABA,Sin especificar,masculino,1
CABA,Sin especificar,masculino,3
La Rioja,40 a 44,masculino,1
Misiones,15 a 19,masculino,1
Misiones,15 a 19,masculino,1
Misiones,15 a 19,masculino,4
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,2
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,2
Misiones,25 a 29,masculino,2
Misiones,25 a 29,masculino,3
Misiones,25 a 29,masculino,4
Misiones,25 a 29,masculino,10
Misiones,25 a 29,masculino,14
Misiones,25 a 29,masculino,10
Misiones,25 a 29,masculino,3
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,16
Misiones,25 a 29,masculino,54
Misiones,25 a 29,masculino,198
Misiones,25 a 29,masculino,192
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,3
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,8
Misiones,25 a 29,masculino,11
Misiones,25 a 29,masculino,8
Misiones,25 a 29,masculino,8
Misiones,25 a 29,masculino,4
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,13
Misiones,25 a 29,masculino,101
Misiones,25 a 29,masculino,279
Misiones,25 a 29,masculino,255
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,2
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,11
Misiones,25 a 29,masculino,36
Misiones,25 a 29,masculino,29
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,2
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,2
Misiones,25 a 29,masculino,4
Misiones,25 a 29,masculino,5
Misiones,25 a 29,masculino,5
Misiones,25 a 29,masculino,3
Misiones,25 a 29,masculino,40
Misiones,25 a 29,masculino,99
Misiones,25 a 29,masculino,92
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,2
Misiones,25 a 29,masculino,5
Misiones,25 a 29,masculino,4
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,1
Misiones,25 a 29,masculino,6
Misiones,25 a 29,masculino,15
Misiones,25 a 29,masculino,62
Misiones,25 a 29,masculino,68
Misiones,25 a 29,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,6
Misiones,30 a 34,masculino,7
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,4
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,4
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,7
Misiones,30 a 34,masculino,27
Misiones,30 a 34,masculino,69
Misiones,30 a 34,masculino,84
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,6
Misiones,30 a 34,masculino,6
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,4
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,9
Misiones,30 a 34,masculino,41
Misiones,30 a 34,masculino,119
Misiones,30 a 34,masculino,123
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,4
Misiones,30 a 34,masculino,7
Misiones,30 a 34,masculino,4
Misiones,30 a 34,masculino,5
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,7
Misiones,30 a 34,masculino,38
Misiones,30 a 34,masculino,115
Misiones,30 a 34,masculino,113
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,14
Misiones,30 a 34,masculino,12
Misiones,30 a 34,masculino,10
Misiones,30 a 34,masculino,5
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,6
Misiones,30 a 34,masculino,20
Misiones,30 a 34,masculino,72
Misiones,30 a 34,masculino,197
Misiones,30 a 34,masculino,168
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,2
Misiones,30 a 34,masculino,1
Misiones,30 a 34,masculino,6
Misiones,30 a 34,masculino,26
Misiones,30 a 34,masculino,31
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,2
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,5
Corrientes,40 a 44,masculino,10
Corrientes,40 a 44,masculino,15
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,5
Corrientes,40 a 44,masculino,13
Corrientes,40 a 44,masculino,8
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,2
Corrientes,40 a 44,masculino,3
Corrientes,40 a 44,masculino,2
Corrientes,40 a 44,masculino,11
Corrientes,40 a 44,masculino,20
Corrientes,40 a 44,masculino,17
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,5
Corrientes,40 a 44,masculino,3
Corrientes,40 a 44,masculino,6
Corrientes,40 a 44,masculino,3
Corrientes,40 a 44,masculino,2
Corrientes,40 a 44,masculino,2
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,4
Corrientes,40 a 44,masculino,20
Corrientes,40 a 44,masculino,15
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,1
Corrientes,40 a 44,masculino,2
Corrientes,40 a 44,masculino,6
Corrientes,40 a 44,masculino,4
Corrientes,40 a 44,masculino,12
Corrientes,40 a 44,masculino,10
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,2
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,1
Corrientes,De 45 y más,masculino,2
Corrientes,Sin especificar,masculino,1
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,3
Misiones,35 a 39,masculino,4
Misiones,35 a 39,masculino,4
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,20
Misiones,35 a 39,masculino,49
Misiones,35 a 39,masculino,49
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,5
Misiones,35 a 39,masculino,9
Misiones,35 a 39,masculino,7
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,4
Misiones,35 a 39,masculino,33
Misiones,35 a 39,masculino,67
Misiones,35 a 39,masculino,78
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,11
Misiones,35 a 39,masculino,16
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,3
Misiones,35 a 39,masculino,7
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,4
Misiones,35 a 39,masculino,2
Misiones,35 a 39,masculino,3
Misiones,35 a 39,masculino,31
Misiones,35 a 39,masculino,85
Misiones,35 a 39,masculino,75
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,3
Misiones,35 a 39,masculino,3
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,1
Misiones,35 a 39,masculino,4
Misiones,35 a 39,masculino,14
Misiones,35 a 39,masculino,20
CABA,35 a 39,masculino,62
CABA,35 a 39,masculino,174
CABA,35 a 39,masculino,202
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,7
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,3
CABA,35 a 39,masculino,15
CABA,35 a 39,masculino,79
CABA,35 a 39,masculino,78
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,12
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,3
CABA,35 a 39,masculino,14
CABA,35 a 39,masculino,49
CABA,35 a 39,masculino,34
CABA,35 a 39,masculino,14
CABA,35 a 39,masculino,6
CABA,35 a 39,masculino,21
CABA,35 a 39,masculino,285
CABA,35 a 39,masculino,812
CABA,35 a 39,masculino,854
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,1
CABA,35 a 39,masculino,2
CABA,35 a 39,masculino,3
CABA,35 a 39,masculino,14
CABA,35 a 39,masculino,38
CABA,35 a 39,masculino,51
CABA,35 a 39,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,2
CABA,40 a 44,masculino,4
CABA,40 a 44,masculino,7
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,8
CABA,40 a 44,masculino,29
CABA,40 a 44,masculino,29
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,10
CABA,40 a 44,masculino,27
CABA,40 a 44,masculino,18
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,2
CABA,40 a 44,masculino,4
CABA,40 a 44,masculino,4
CABA,40 a 44,masculino,6
CABA,40 a 44,masculino,3
CABA,40 a 44,masculino,23
CABA,40 a 44,masculino,64
CABA,40 a 44,masculino,69
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,1
CABA,40 a 44,masculino,3
CABA,40 a 44,masculino,4
CABA,40 a 44,masculino,4
CABA,40 a 44,masculino,1
Chaco,15 a 19,masculino,194
Chaco,15 a 19,masculino,147
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,2
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,2
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,4
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,4
Chaco,15 a 19,masculino,2
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,8
Chaco,15 a 19,masculino,17
Chaco,15 a 19,masculino,38
Chaco,15 a 19,masculino,13
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,2
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,4
Chaco,15 a 19,masculino,5
Chaco,15 a 19,masculino,6
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,3
Chaco,15 a 19,masculino,3
Chaco,15 a 19,masculino,2
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,3
Chaco,15 a 19,masculino,3
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,5
Chaco,20 a 24,masculino,2
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,2
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,2
Chaco,20 a 24,masculino,19
Chaco,20 a 24,masculino,41
Chaco,20 a 24,masculino,39
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,1
Chaco,20 a 24,masculino,1
Chaco,15 a 19,masculino,5
Chaco,15 a 19,masculino,7
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,5
Chaco,15 a 19,masculino,49
Chaco,15 a 19,masculino,103
Chaco,15 a 19,masculino,87
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,1
Chaco,15 a 19,masculino,2
Chaco,25 a 29,masculino,14
Chaco,25 a 29,masculino,6
Chaco,25 a 29,masculino,4
Chaco,25 a 29,masculino,1
Chaco,25 a 29,masculino,4
Chaco,25 a 29,masculino,18
Chaco,25 a 29,masculino,120
Chaco,25 a 29,masculino,342
Chaco,25 a 29,masculino,276
Chaco,25 a 29,masculino,5
Chaco,25 a 29,masculino,2
Chaco,25 a 29,masculino,2
Chaco,25 a 29,masculino,1
Chaco,25 a 29,masculino,2
Chaco,25 a 29,masculino,1
Chaco,25 a 29,masculino,7
Chaco,25 a 29,masculino,2
Chaco,25 a 29,masculino,7
Chaco,25 a 29,masculino,27
Chaco,25 a 29,masculino,85
Chaco,25 a 29,masculino,55
Chaco,25 a 29,masculino,2
Chaco,25 a 29,masculino,11
Chaco,25 a 29,masculino,8
Chaco,25 a 29,masculino,3
Chaco,25 a 29,masculino,1
Chaco,25 a 29,masculino,7
Chaco,25 a 29,masculino,51
Chaco,25 a 29,masculino,106
Chaco,25 a 29,masculino,74
Chaco,25 a 29,masculino,1
Chaco,25 a 29,masculino,1
Chaco,25 a 29,masculino,3
Chaco,25 a 29,masculino,2
Chaco,25 a 29,masculino,4
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,4
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,4
Chaco,30 a 34,masculino,14
Chaco,30 a 34,masculino,32
Chaco,30 a 34,masculino,50
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,5
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,7
Chaco,30 a 34,masculino,42
Chaco,30 a 34,masculino,79
Chaco,30 a 34,masculino,114
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,4
Chaco,30 a 34,masculino,5
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,5
Chaco,30 a 34,masculino,31
Chaco,30 a 34,masculino,95
Chaco,30 a 34,masculino,104
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,5
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,6
Chaco,30 a 34,masculino,15
Chaco,30 a 34,masculino,12
Chaco,30 a 34,masculino,4
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,11
Chaco,30 a 34,masculino,91
Chaco,30 a 34,masculino,200
Chaco,30 a 34,masculino,202
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,15
Chaco,30 a 34,masculino,43
Chaco,30 a 34,masculino,34
Chaco,30 a 34,masculino,4
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,7
Chaco,30 a 34,masculino,14
Chaco,30 a 34,masculino,3
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,10
Chaco,30 a 34,masculino,76
Chaco,30 a 34,masculino,162
Chaco,30 a 34,masculino,116
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,1
Chaco,30 a 34,masculino,2
Chaco,30 a 34,masculino,5
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,13
Chaco,35 a 39,masculino,20
Chaco,35 a 39,masculino,27
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,4
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,24
Chaco,35 a 39,masculino,55
Chaco,35 a 39,masculino,53
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,4
Chaco,35 a 39,masculino,14
Chaco,35 a 39,masculino,56
Chaco,35 a 39,masculino,56
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,6
Chaco,35 a 39,masculino,9
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,2
Chaco,35 a 39,masculino,1
Chaco,35 a 39,masculino,3
Chaco,35 a 39,masculino,36
